account;followers_count;verified
Brad Wanamaker;20437;True
Patrick McCaw;44049;True
Kenneth Faried;386716;True
Brandon Goodwin;2718;True
Gary Clark;122425;True
Bruno Caboclo;33549;True
Wesley Matthews;267763;True
Salah Mejri;21495;True
Nik Stauskas;116266;True
Jeremy Lin;2526447;True
Enes Kanter;424503;True
John Jenkins;18546;True
Chris Boucher;5315;False
Malcolm Miller;4090;True
Markieff Morris;60083;True
Henry Ellenson;11626;True
Pau Gasol;7426383;True
Andrew Bogut;380534;True
Jaylen Adams;4497;False
Danuel House Jr.;12358;True
Jimmer Fredette;161549;True
Tim Frazier;14986;True
Dairis Bertans;7257;True
Ray Spalding;7507;True
Deonte Burton;3268;True
Cameron Reynolds;2869;False
Chris Chiozza;9646;True
JaKarr Sampson;4087;False
Donatas Motiejunas;106075;True
Michael Carter-Williams;136614;True
Greg Monroe;42961;True
Jemerrio Jones;4;False
Isaac Humphries;30440;True
BJ Johnson;5399;False
